"x" "y"
"South_1" -2167455 2689095
"South_2" -2169795 2713125
"South_3" -2169615 2694495
"South_4" -2171955 2695575
"South_5" -2171595 2698005
"South_6" -2172945 2690715
"South_7" -2173935 2702325
"South_8" -2166735 2686125
"South_9" -2169345 2700975
"South_10" -2168265 2704755
"South_11" -2167185 2692155
"South_12" -2165565 2691615
"South_13" -2170515 2692065
"South_14" -2168265 2702325
"South_15" -2173845 2698005
"South_16" -2167185 2714205
"South_17" -2174025 2683335
"South_18" -2165385 2707185
"South_19" -2171775 2683065
"South_20" -2173215 2710065
"South_21" -2166105 2689905
"South_22" -2169795 2688015
"South_23" -2167005 2682345
"South_24" -2173755 2672535
"South_25" -2165565 2678835
