"x" "y"
"North_1" -2145375 2754345
"North_2" -2145885 2753145
"North_3" -2144175 2752275
"North_4" -2144625 2754195
"North_5" -2145975 2750985
"North_6" -2145675 2750475
"North_7" -2142675 2753325
"North_8" -2142585 2753055
"North_9" -2141535 2753085
"North_10" -2142015 2752185
"North_11" -2145045 2753475
"North_12" -2146605 2752935
"North_13" -2147685 2753505
"North_14" -2145465 2751045
"North_15" -2146185 2752845
"North_16" -2142465 2752515
"North_17" -2145615 2753955
"North_18" -2144025 2751735
"North_19" -2143545 2753475
"North_20" -2143095 2754075
"North_21" -2144415 2751525
"North_22" -2147745 2754135
"North_23" -2144985 2753085
"North_24" -2146695 2753895
"North_25" -2144805 2753775
