"x" "y"
"South_1" -2170335 2724375
"South_2" -2168445 2726985
"South_3" -2170425 2724915
"South_4" -2171055 2725095
"South_5" -2170695 2725365
"South_6" -2171955 2724555
"South_7" -2170965 2725815
"South_8" -2170425 2724015
"South_9" -2169615 2725635
"South_10" -2168805 2726085
"South_11" -2173035 2724645
"South_12" -2172585 2724645
"South_13" -2170965 2724645
"South_14" -2169075 2725815
"South_15" -2171415 2725365
"South_16" -2167455 2727165
"South_17" -2169975 2723745
"South_18" -2167635 2726355
"South_19" -2169255 2723655
"South_20" -2166735 2726715
"South_21" -2169795 2724465
"South_22" -2171235 2724195
"South_23" -2170875 2723565
"South_24" -2171055 2722485
"South_25" -2170785 2723205
