"x" "y"
"North_1" -2145405 2754345
"North_2" -2145855 2753175
"North_3" -2144145 2752275
"North_4" -2144595 2754165
"North_5" -2145945 2751015
"North_6" -2145675 2750475
"North_7" -2142705 2753355
"North_8" -2142615 2753085
"North_9" -2141535 2753085
"North_10" -2141985 2752185
"North_11" -2145045 2753445
"North_12" -2146575 2752905
"North_13" -2147655 2753535
"North_14" -2145495 2751015
"North_15" -2146215 2752815
"North_16" -2142435 2752545
"North_17" -2145585 2753985
"North_18" -2144055 2751735
"North_19" -2143515 2753445
"North_20" -2143065 2754075
"North_21" -2144415 2751555
"North_22" -2147745 2754165
"North_23" -2144955 2753085
"North_24" -2146665 2753895
"North_25" -2144775 2753805
